text,category,intent,customer_tier,source_channel,sla_hours_remaining,ticket_age_hours,repeat_contact_count,urgency_keyword_score,exclamation_count,all_caps_ratio,customer_sentiment,business_impact,priority
I want help lodging an claim,Complaints & Escalations,complaint,Enterprise,email,-2.8,10.8,0,0,0,0.0,Frustrated,Severe,High
can I check the withdrawal penalty?,Returns & Refunds,check_cancellation_fee,Enterprise,website,-2.4,10.4,1,0,0,0.0,Frustrated,Moderate,High
I need help to subscribe to your newsletter,Subscription & Account Management,newsletter_subscription,Basic,website,-10.0,58.0,0,0,0,0.0,Neutral,Minor,Medium
I am trying to find information about a gold account removal,Account & Authentication,delete_account,Free,website,39.4,32.6,0,0,0,0.0,Neutral,Moderate,Medium
can ya help me see in which situations can i ask for refunds,Returns & Refunds,check_refund_policy,Enterprise,email,-6.7,14.7,1,0,0,0.0,Frustrated,Moderate,High
open gold account,Account & Authentication,create_account,Free,email,-10.7,82.7,0,0,0,0.0,Frustrated,Moderate,High
"I have got to see how long refunds take, will you help me?",Returns & Refunds,check_refund_policy,Free,freshdesk,59.3,12.7,0,0,0,0.0,Neutral,Minor,Medium
i try to demand a reimbursement of my money,Returns & Refunds,get_refund,Free,email,36.6,35.4,0,0,0,0.0,Angry,Moderate,High
"I expect a fucking ocmpensation of , was it processed",Returns & Refunds,track_refund,Free,email,69.8,2.2,0,0,0,0.0,Angry,Severe,High
remove premium account,Account & Authentication,delete_account,Free,website,72.0,0.0,0,0,0,0.0,Frustrated,Minor,Medium
swap an item of order,Orders & Shipping,change_order,Pro,zendesk,-2.1,26.1,0,0,0,0.0,Neutral,Minor,Medium
I'm trying tochange order,Orders & Shipping,change_order,Free,salesforce,-33.7,105.7,0,0,0,0.0,Frustrated,Moderate,Medium
my experience with ur brand was awful make a claim,Complaints & Escalations,complaint,Pro,freshdesk,24.0,0.0,1,0,0,0.0,Angry,Moderate,High
how do i see at what time i can recah customer service,General Inquiries,contact_customer_service,Free,website,72.0,0.0,1,0,0,0.0,Neutral,Minor,Medium
I want to check at what time I can contact customer support,General Inquiries,contact_customer_service,Basic,email,34.0,14.0,1,0,0,0.0,Neutral,Minor,Low
I have to report problems with payment,Billing & Payments,payment_issue,Free,website,-14.4,86.4,0,0,0,0.0,Frustrated,Moderate,High
question about opening a account,Account & Authentication,create_account,Basic,freshdesk,30.7,17.3,0,0,0,0.0,Neutral,Minor,Low
report issue with payment,Billing & Payments,payment_issue,Pro,freshdesk,17.3,6.7,0,0,0,0.0,Frustrated,Moderate,Medium
I want assistance checking the early exit fee,Returns & Refunds,check_cancellation_fee,Basic,freshdesk,14.6,33.4,0,0,0,0.0,Neutral,Minor,Medium
I can't speak iwth an operator,General Inquiries,contact_human_agent,Basic,freshdesk,-18.4,66.4,0,0,0,0.0,Frustrated,Moderate,High
wanna see ur refund policy how to do it,Returns & Refunds,check_refund_policy,Free,email,72.0,0.0,0,0,0,0.0,Neutral,Minor,Low
I need assistance earning several of your product,Orders & Shipping,place_order,Free,salesforce,-19.4,91.4,0,0,0,0.0,Frustrated,Moderate,High
where do i check the status of order,Orders & Shipping,track_order,Pro,salesforce,-5.5,29.5,1,0,0,0.0,Neutral,Minor,Medium
see the allowed payment options,Billing & Payments,check_payment_methods,Basic,email,13.5,34.5,1,0,0,0.0,Neutral,Minor,Low
where could I inform of issues with a signup?,Account & Authentication,registration_problems,Free,salesforce,-26.9,98.9,1,0,0,0.0,Frustrated,Moderate,High
where do i file a consumer reclamation against ur business,Complaints & Escalations,complaint,Enterprise,zendesk,6.7,1.3,1,0,0,0.0,Frustrated,Moderate,High
i dont know how i can reset the pass of my account,Account & Authentication,recover_password,Basic,email,-22.0,70.0,0,0,0,0.0,Frustrated,Minor,Medium
how to purchase several items?,Orders & Shipping,place_order,Pro,email,9.2,14.8,0,0,0,0.0,Neutral,Minor,Low
i need assistance to speak with a live agent,General Inquiries,contact_human_agent,Basic,email,-15.2,63.2,0,0,0,0.0,Frustrated,Moderate,Medium
"I need to speak to customer support, can you help me?",General Inquiries,contact_customer_service,Basic,email,-46.7,94.7,0,0,0,0.0,Neutral,Minor,Low
check if there is anything wrong with my damn restitution,Returns & Refunds,track_refund,Basic,freshdesk,-28.4,76.4,0,0,0,0.0,Frustrated,Moderate,High
i do not know what to do to modify my address,Orders & Shipping,change_shipping_address,Pro,email,-26.9,50.9,0,0,0,0.0,Neutral,Moderate,Medium
I don't know how to receive the company newsletter,Subscription & Account Management,newsletter_subscription,Pro,email,-7.6,31.6,1,0,0,0.0,Neutral,Minor,Medium
i dont know what to doto check ur money back policy,Returns & Refunds,check_refund_policy,Basic,website,13.4,34.6,0,0,0,0.0,Neutral,Minor,Medium
where do I reset my user key?,Account & Authentication,recover_password,Free,website,-10.8,82.8,1,0,0,0.0,Frustrated,Moderate,High
need help seeing in what situations can i ask to be refunded,Returns & Refunds,check_refund_policy,Pro,email,-0.5,24.5,1,0,0,0.0,Neutral,Minor,Medium
I do not know how to talk to damn customer support,General Inquiries,contact_customer_service,Pro,freshdesk,9.2,14.8,0,0,0,0.0,Frustrated,Minor,Medium
help me seeing what shipment methods are available,Orders & Shipping,delivery_options,Pro,website,-16.6,40.6,0,0,0,0.0,Neutral,Minor,Low
"I have to receive your corporate newsletter, help me",Subscription & Account Management,newsletter_subscription,Basic,salesforce,18.7,29.3,0,0,0,0.0,Neutral,Minor,Low
inform of ikssue with online payment,Billing & Payments,payment_issue,Enterprise,website,6.5,1.5,2,0,0,0.0,Frustrated,Moderate,High
"the experience with you has been bad, I try to file a claim",Complaints & Escalations,complaint,Pro,email,8.6,15.4,1,0,0,0.0,Frustrated,Moderate,High
I am trying to get reimbursements of my money,Returns & Refunds,get_refund,Free,website,-64.8,136.8,0,0,0,0.0,Frustrated,Moderate,High
I don't know what to do to notify of an sisue with sign-up,Account & Authentication,registration_problems,Basic,email,48.0,0.0,0,0,0,0.0,Neutral,Moderate,Medium
i cannot switch a product of purchase,Orders & Shipping,change_order,Enterprise,website,-0.6,8.6,0,0,0,0.0,Frustrated,Severe,High
I need assistance to list the allowed payment methods,Billing & Payments,check_payment_methods,Basic,website,-16.4,64.4,0,0,0,0.0,Neutral,Minor,Low
i do not know what i have to do to get my bill #37777,Billing & Payments,get_invoice,Free,website,72.0,0.0,0,0,0,0.0,Frustrated,Moderate,Medium
can you tell me about correcting the address?,Orders & Shipping,change_shipping_address,Enterprise,website,-0.3,8.3,1,0,0,0.0,Frustrated,Moderate,Medium
can you help me speaking with someone?,General Inquiries,contact_human_agent,Free,freshdesk,-8.4,80.4,2,0,0,0.0,Frustrated,Moderate,Medium
can i see the status of my subscription to ur newsletter,Subscription & Account Management,newsletter_subscription,Free,zendesk,47.7,24.3,0,0,0,0.0,Neutral,Minor,Low
I don't knolw what I have to do to shop some of your product,Orders & Shipping,place_order,Free,email,51.2,20.8,0,0,0,0.0,Neutral,Minor,Medium
I have to swap some products of purchase,Orders & Shipping,change_order,Basic,zendesk,36.9,11.1,0,0,0,0.0,Neutral,Minor,Medium
I want assistance closing the freemium account,Account & Authentication,delete_account,Basic,salesforce,-27.8,75.8,0,0,0,0.0,Frustrated,Moderate,High
i do not use my cacount i want help removing it,Account & Authentication,delete_account,Enterprise,website,5.7,2.3,0,0,0,0.0,Neutral,Minor,Low
"I no longer need my account, I want to cancel it",Account & Authentication,delete_account,Pro,zendesk,-14.0,38.0,1,0,0,0.0,Frustrated,Moderate,Medium
can you help me giving a quick look at my invoice #12588?,Billing & Payments,check_invoice,Pro,website,-13.5,37.5,0,0,0,0.0,Neutral,Minor,Medium
help to locate my bills from,Billing & Payments,check_invoice,Free,email,54.8,17.2,0,0,0,0.0,Neutral,Minor,Medium
check in which situations can i request an refund,Returns & Refunds,check_refund_policy,Pro,freshdesk,-0.4,24.4,0,0,0,0.0,Neutral,Minor,Medium
"I cannot sign up, I need to notify of registration issues",Account & Authentication,registration_problems,Basic,freshdesk,28.7,19.3,0,0,0,0.0,Frustrated,Moderate,High
"I want to modify purchase , I need assistance",Orders & Shipping,change_order,Enterprise,website,1.1,6.9,4,0,0,0.0,Frustrated,Moderate,High
is it possible to create a account?,Account & Authentication,create_account,Free,zendesk,66.9,5.1,0,0,0,0.0,Neutral,Minor,Medium
I have to buy some of yout item,Orders & Shipping,place_order,Free,website,72.0,0.0,0,0,0,0.0,Neutral,Minor,Low
uare not being helpful help me speak to an operator,General Inquiries,contact_human_agent,Pro,website,10.4,13.6,1,0,0,0.0,Frustrated,Moderate,High
problem with acount deletions,Account & Authentication,delete_account,Enterprise,zendesk,6.3,1.7,2,0,0,0.0,Frustrated,Moderate,High
i haqve to see at what time i can contact customer service,General Inquiries,contact_customer_service,Basic,zendesk,21.3,26.7,1,0,0,0.0,Neutral,Minor,Medium
buy several articles,Orders & Shipping,place_order,Enterprise,website,-2.7,10.7,1,0,0,0.0,Frustrated,Moderate,High
wherecan I check the termination charge?,Returns & Refunds,check_cancellation_fee,Free,freshdesk,-12.1,84.1,0,0,0,0.0,Frustrated,Moderate,High
I do not know how I can close a standard account,Account & Authentication,delete_account,Pro,email,16.1,7.9,1,0,0,0.0,Frustrated,Minor,Medium
could I get my bill from ?,Billing & Payments,get_invoice,Enterprise,email,-3.4,11.4,1,0,0,0.0,Frustrated,Moderate,High
"I want to receive the fucking corporate newsletter, help me",Subscription & Account Management,newsletter_subscription,Pro,email,-3.4,27.4,1,0,0,0.0,Frustrated,Moderate,High
I can't find anything about the cancellation charge,Returns & Refunds,check_cancellation_fee,Pro,zendesk,5.1,18.9,0,0,0,0.0,Neutral,Minor,Medium
I have got to see your money back policy,Returns & Refunds,check_refund_policy,Free,email,-8.0,80.0,0,0,0,0.0,Neutral,Moderate,Medium
how do I talk with somebody?,General Inquiries,contact_human_agent,Basic,salesforce,31.9,16.1,0,0,0,0.0,Neutral,Minor,Low
is there anaddress to send feedback for a service,Customer Feedback,review,Free,email,-27.8,99.8,0,0,0,0.0,Neutral,Minor,Low
"the experience with you has been bad, make a reclamation",Complaints & Escalations,complaint,Basic,salesforce,-0.6,48.6,0,0,0,0.0,Angry,Severe,High
opening freemium account,Account & Authentication,create_account,Free,email,72.0,0.0,0,0,0,0.0,Neutral,Minor,Low
what do i need to do to create a account,Account & Authentication,create_account,Basic,website,1.6,46.4,0,0,0,0.0,Neutral,Minor,Low
can you help me speaking with a human agent?,General Inquiries,contact_human_agent,Pro,email,-2.1,26.1,0,0,0,0.0,Frustrated,Moderate,High
"I want to see your payment methods, how to do it?",Billing & Payments,check_payment_methods,Enterprise,email,-1.1,9.1,1,0,0,0.0,Frustrated,Moderate,High
help me check the eta of the order,Orders & Shipping,track_order,Free,website,-6.4,78.4,0,0,0,0.0,Neutral,Minor,Low
help me to check in which cases can I request refunds,Returns & Refunds,check_refund_policy,Basic,zendesk,9.4,38.6,1,0,0,0.0,Neutral,Minor,Medium
help me see in which cases can i ask to be refunded,Returns & Refunds,check_refund_policy,Pro,zendesk,14.3,9.7,1,0,0,0.0,Neutral,Minor,Medium
"I want to modify order , how to do it?",Orders & Shipping,change_order,Basic,zendesk,19.5,28.5,0,0,0,0.0,Neutral,Minor,Medium
i do not know what i need to do to speak to customer service,General Inquiries,contact_customer_service,Basic,website,-8.8,56.8,2,0,0,0.0,Frustrated,Minor,Medium
could I see in what situations can I request my money back?,Returns & Refunds,check_refund_policy,Free,website,-9.4,81.4,0,0,0,0.0,Neutral,Minor,Medium
where could I get information about account deletions?,Account & Authentication,delete_account,Enterprise,salesforce,-2.7,10.7,1,0,0,0.0,Frustrated,Moderate,Medium
see in which cases can I request my money back,Returns & Refunds,check_refund_policy,Basic,salesforce,47.7,0.3,0,0,0,0.0,Neutral,Minor,Medium
have a problem with the termination of a account,Account & Authentication,delete_account,Basic,salesforce,34.9,13.1,0,0,0,0.0,Frustrated,Moderate,Medium
need to see in what cases can i request to be reimbursed,Returns & Refunds,check_refund_policy,Free,website,72.0,0.0,1,0,0,0.0,Neutral,Minor,Low
can you help me seeing your available payment options?,Billing & Payments,check_payment_methods,Free,email,33.4,38.6,0,0,0,0.0,Neutral,Minor,Medium
send service review,Customer Feedback,review,Pro,website,16.0,8.0,1,0,0,0.0,Frustrated,Moderate,Medium
is there a section to send an opinion for a service,Customer Feedback,review,Basic,website,27.0,21.0,0,0,0,0.0,Neutral,Minor,Medium
i need help changing some articles of order,Orders & Shipping,change_order,Basic,email,-7.1,55.1,0,0,0,0.0,Neutral,Minor,Low
i want assistance sending some feedback for a product,Customer Feedback,review,Free,email,-1.8,73.8,0,0,0,0.0,Neutral,Moderate,High
I don't know what to do to remove a aaccount,Account & Authentication,delete_account,Basic,website,-25.9,73.9,0,0,0,0.0,Frustrated,Moderate,High
question about cancellung purchase,Orders & Shipping,cancel_order,Free,salesforce,23.4,48.6,1,0,0,0.0,Frustrated,Moderate,Medium
I want assistance checking how long refunds uaually take,Returns & Refunds,check_refund_policy,Free,salesforce,5.2,66.8,0,0,0,0.0,Neutral,Minor,Low
need to swap several items of purchase,Orders & Shipping,change_order,Free,email,72.0,0.0,0,0,0,0.0,Neutral,Minor,Medium
assistance adding some items to purchase,Orders & Shipping,change_order,Pro,website,12.3,11.7,0,0,0,0.0,Neutral,Minor,Medium
need to purchase some of ur product,Orders & Shipping,place_order,Enterprise,freshdesk,8.0,0.0,2,0,0,0.0,Neutral,Minor,Medium
could i check ur accepted payment modalities,Billing & Payments,check_payment_methods,Enterprise,email,0.9,7.1,1,0,0,0.0,Neutral,Minor,Medium
"I have to edit order , how do I do it?",Orders & Shipping,change_order,Basic,freshdesk,16.8,31.2,0,0,0,0.0,Neutral,Minor,Medium
I have to cancel my company newsletter subscription,Subscription & Account Management,newsletter_subscription,Pro,website,15.0,9.0,0,1,0,0.0,Neutral,Minor,Medium
where to sign up to the newsleter,Subscription & Account Management,newsletter_subscription,Pro,zendesk,-11.7,35.7,0,0,0,0.0,Neutral,Minor,Low
do you have an e-mail address to contact customer support?,General Inquiries,contact_customer_service,Basic,email,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
can you help me to submit feedback about a product?,Customer Feedback,review,Basic,freshdesk,-16.9,64.9,1,0,0,0.0,Frustrated,Moderate,High
i call to submit feedback about ur services,Customer Feedback,review,Enterprise,freshdesk,7.8,0.2,0,0,0,0.0,Frustrated,Moderate,Medium
i dont know how i can retrieve the access key olf my account,Account & Authentication,recover_password,Pro,zendesk,9.9,14.1,1,0,0,0.0,Frustrated,Moderate,High
can you help me to sign up to the corporate newsletter?,Subscription & Account Management,newsletter_subscription,Enterprise,email,-0.5,8.5,2,0,0,0.0,Frustrated,Moderate,High
check in which situations can I ask for refunds,Returns & Refunds,check_refund_policy,Pro,email,9.7,14.3,0,0,0,0.0,Neutral,Minor,Medium
want help seeing in which situations can I ask for a refund,Returns & Refunds,check_refund_policy,Basic,freshdesk,-4.7,52.7,0,0,0,0.0,Neutral,Minor,Medium
I want assistance to see the cancellation penalties,Returns & Refunds,check_cancellation_fee,Free,website,72.0,0.0,0,0,0,0.0,Neutral,Minor,Medium
modifying data on freemium account,Account & Authentication,edit_account,Pro,freshdesk,19.7,4.3,1,0,0,0.0,Frustrated,Moderate,High
have problems with the removal of my gold account,Account & Authentication,delete_account,Free,website,23.3,48.7,0,0,0,0.0,Frustrated,Moderate,High
i need help sending some feedback about a service,Customer Feedback,review,Free,email,-6.4,78.4,0,0,0,0.0,Neutral,Minor,Low
help to earn several of your item,Orders & Shipping,place_order,Basic,email,-18.0,66.0,2,0,0,0.0,Frustrated,Moderate,Medium
I want to cancel my subscription to your newsletter,Subscription & Account Management,newsletter_subscription,Free,website,-18.6,90.6,0,1,0,0.0,Neutral,Minor,Low
can i get in touch with customer support,General Inquiries,contact_customer_service,Pro,zendesk,13.5,10.5,1,0,0,0.0,Neutral,Minor,Low
"I expect a refund of , has it been processed already?",Returns & Refunds,track_refund,Basic,website,48.0,0.0,0,0,0,0.0,Frustrated,Moderate,Medium
I have to file a consumer claim,Complaints & Escalations,complaint,Basic,email,33.7,14.3,0,0,0,0.0,Neutral,Moderate,Medium
want assistance restoring my profile PIN,Account & Authentication,recover_password,Free,email,15.7,56.3,0,0,0,0.16666666666666666,Frustrated,Minor,Medium
i dont know what to do to chat with a human agent,General Inquiries,contact_human_agent,Free,freshdesk,48.1,23.9,0,0,0,0.0,Frustrated,Minor,Medium
how can i contact a operator,General Inquiries,contact_human_agent,Pro,salesforce,16.8,7.2,0,0,0,0.0,Neutral,Minor,Low
i dont know what i need to do to cancel my standard account,Account & Authentication,delete_account,Pro,freshdesk,-2.8,26.8,0,1,0,0.0,Frustrated,Moderate,High
assistance to check when will my package arrive,Orders & Shipping,delivery_period,Free,zendesk,-22.6,94.6,0,0,0,0.0,Frustrated,Moderate,High
help switching an article of order,Orders & Shipping,change_order,Enterprise,zendesk,6.4,1.6,1,0,0,0.0,Frustrated,Moderate,High
"I have to check the shipping options, will you help me?",Orders & Shipping,delivery_options,Basic,email,15.5,32.5,0,0,0,0.0,Neutral,Minor,Low
speak with human agent,General Inquiries,contact_human_agent,Basic,email,18.4,29.6,0,0,0,0.0,Neutral,Minor,Medium
need to purchase several of ur article,Orders & Shipping,place_order,Free,zendesk,-31.6,103.6,0,0,0,0.0,Frustrated,Moderate,High
I need help to cancel my newsletter subscription,Subscription & Account Management,newsletter_subscription,Enterprise,email,-1.0,9.0,3,1,0,0.0,Frustrated,Moderate,High
i have to speak ot customer support how could i do it,General Inquiries,contact_customer_service,Free,website,18.8,53.2,0,0,0,0.0,Neutral,Minor,Low
I do not know how I can send my feedback about your products,Customer Feedback,review,Free,salesforce,10.4,61.6,0,0,0,0.0,Neutral,Minor,Medium
I call to check how soon can I expect my product,Orders & Shipping,delivery_period,Free,email,7.4,64.6,0,0,0,0.0,Neutral,Minor,Low
I am calling to write a review for a service,Customer Feedback,review,Basic,salesforce,33.3,14.7,0,0,0,0.0,Neutral,Minor,Medium
what do I need to do to track order ?,Orders & Shipping,track_order,Free,email,30.2,41.8,1,0,0,0.0,Neutral,Minor,Medium
help to leave a comment for your services,Customer Feedback,review,Pro,email,3.4,20.6,1,0,0,0.0,Neutral,Minor,Low
need to add several products to purchase,Orders & Shipping,change_order,Pro,freshdesk,11.1,12.9,1,0,0,0.0,Neutral,Moderate,High
help me reset my PIN,Account & Authentication,recover_password,Free,freshdesk,-99.0,171.0,1,0,0,0.2,Frustrated,Moderate,High
i cant hcat with somebody,General Inquiries,contact_human_agent,Free,freshdesk,-2.2,74.2,0,0,0,0.0,Frustrated,Moderate,Medium
can you tell me at what time I can call customer assistance?,General Inquiries,contact_customer_service,Basic,salesforce,-33.9,81.9,0,0,0,0.0,Neutral,Minor,Medium
i want help demanding reimbursements of my money,Returns & Refunds,get_refund,Free,email,45.1,26.9,0,0,0,0.0,Frustrated,Moderate,High
can I check how soon can I expect my package?,Orders & Shipping,delivery_period,Free,website,-4.7,76.7,0,0,0,0.0,Neutral,Minor,Medium
help seeing your reimbursement policy,Returns & Refunds,check_refund_policy,Pro,email,-0.6,24.6,0,0,0,0.0,Neutral,Moderate,Medium
I don't know what I need to do to report a payment problem,Billing & Payments,payment_issue,Free,email,-23.3,95.3,2,0,0,0.0,Frustrated,Moderate,High
where to lodge a complaint against your business?,Complaints & Escalations,complaint,Pro,freshdesk,18.8,5.2,1,0,0,0.0,Frustrated,Moderate,Medium
show me under what circumstances can I ask for my money back,Returns & Refunds,check_refund_policy,Basic,zendesk,-9.0,57.0,0,0,0,0.0,Neutral,Minor,Low
help me see under what circumstances can I request a refund,Returns & Refunds,check_refund_policy,Basic,email,-18.3,66.3,0,0,0,0.0,Neutral,Minor,Medium
where could I get information about the delivery methods?,Orders & Shipping,delivery_options,Free,zendesk,43.4,28.6,0,0,0,0.0,Neutral,Minor,Low
how can I unsubscribe from the corporate newsletter?,Subscription & Account Management,newsletter_subscription,Free,freshdesk,-18.6,90.6,0,0,0,0.0,Frustrated,Moderate,Medium
help to lodge a claim against your organization,Complaints & Escalations,complaint,Enterprise,salesforce,-1.6,9.6,1,0,0,0.0,Frustrated,Severe,High
help checking what hours I can call customer assistance,General Inquiries,contact_customer_service,Free,zendesk,-2.3,74.3,0,0,0,0.0,Neutral,Minor,Low
want help to make a complaint against your business,Complaints & Escalations,complaint,Free,zendesk,40.1,31.9,0,0,0,0.0,Frustrated,Moderate,High
can ya help me purchase several items,Orders & Shipping,place_order,Pro,email,6.7,17.3,2,0,0,0.0,Frustrated,Moderate,Medium
where could i leave a fucking comment for a service,Customer Feedback,review,Basic,website,7.3,40.7,0,0,0,0.0,Frustrated,Moderate,Medium
question about the cancellation of a account,Account & Authentication,delete_account,Free,email,36.7,35.3,1,0,0,0.0,Frustrated,Moderate,Medium
can ya help me speaking to someone,General Inquiries,contact_human_agent,Pro,salesforce,19.0,5.0,3,0,0,0.0,Neutral,Minor,Medium
need help to leave feedback for ur products,Customer Feedback,review,Basic,website,9.9,38.1,0,0,0,0.0,Neutral,Minor,Low
"I cannot open a profile, can I report bloody signup errors?",Account & Authentication,registration_problems,Pro,website,-17.0,41.0,0,0,0,0.0,Frustrated,Severe,High
need assistance to talk to someone,General Inquiries,contact_human_agent,Basic,website,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
i want assistance solving issues with online payments,Billing & Payments,payment_issue,Enterprise,email,5.7,2.3,0,0,0,0.0,Frustrated,Moderate,High
how can I call customer service?,General Inquiries,contact_customer_service,Free,email,-17.0,89.0,0,0,0,0.0,Neutral,Minor,Low
seeing order current status,Orders & Shipping,track_order,Enterprise,email,-1.7,9.7,0,0,0,0.0,Frustrated,Moderate,High
I want to check in what cases can I request to be reimbursed,Returns & Refunds,check_refund_policy,Pro,zendesk,-0.6,24.6,0,0,0,0.0,Neutral,Minor,Medium
I don't know how I can check my bill #37777,Billing & Payments,check_invoice,Free,email,23.5,48.5,0,0,0,0.0,Neutral,Minor,Medium
how can I leave some feedback about your products?,Customer Feedback,review,Free,website,17.5,54.5,0,0,0,0.0,Positive,Minor,Low
how could i leave a goddamn erview about a service,Customer Feedback,review,Pro,email,-0.2,24.2,0,0,0,0.0,Angry,Severe,High
i need assistance seeing the termination fees,Returns & Refunds,check_cancellation_fee,Pro,website,3.8,20.2,0,0,0,0.0,Neutral,Minor,Medium
I have an issue editing the address,Orders & Shipping,change_shipping_address,Free,email,72.0,0.0,0,0,0,0.0,Neutral,Minor,Medium
wannma speak to customer service how can i do it,General Inquiries,contact_customer_service,Basic,website,-3.1,51.1,0,0,0,0.0,Neutral,Minor,Low
how could I inform of a sign-up issue?,Account & Authentication,registration_problems,Pro,website,1.4,22.6,0,0,0,0.0,Frustrated,Moderate,Medium
i do not know what i need to do to switch to the account,Account & Authentication,switch_account,Basic,zendesk,3.3,44.7,0,0,0,0.0,Neutral,Minor,Medium
I need assistance leaving a review about a service,Customer Feedback,review,Free,email,64.6,7.4,0,0,0,0.0,Neutral,Minor,Medium
I cannotcancel my subscription to your corporate newsletter,Subscription & Account Management,newsletter_subscription,Free,email,30.7,41.3,0,1,0,0.0,Frustrated,Moderate,High
can you show me what payment methods are allowed ?,Billing & Payments,check_payment_methods,Free,email,43.4,28.6,0,0,0,0.0,Neutral,Minor,Low
wanna submit feedback for ur services help me,Customer Feedback,review,Pro,salesforce,5.1,18.9,0,0,0,0.0,Neutral,Minor,Low
i do not know how to call customer assistance,General Inquiries,contact_customer_service,Basic,zendesk,-3.6,51.6,0,0,0,0.0,Neutral,Minor,Medium
"I can't remember the PIN of my account, how do I reset it?",Account & Authentication,recover_password,Basic,website,-12.6,60.6,0,0,0,0.07142857142857142,Neutral,Minor,Medium
is it possible to check your paymet modalities?,Billing & Payments,check_payment_methods,Basic,website,10.3,37.7,0,0,0,0.0,Neutral,Minor,Medium
"I have bought some items, cancel order",Orders & Shipping,cancel_order,Basic,freshdesk,3.7,44.3,0,0,0,0.0,Frustrated,Minor,Medium
wanna inform of registration issues,Account & Authentication,registration_problems,Basic,salesforce,7.6,40.4,0,0,0,0.0,Neutral,Moderate,Medium
can you help me to notify of an error with payment?,Billing & Payments,payment_issue,Basic,email,-27.0,75.0,0,0,0,0.0,Frustrated,Moderate,High
new premium account,Account & Authentication,create_account,Basic,email,38.9,9.1,0,0,0,0.0,Neutral,Moderate,Medium
issue updating address,Orders & Shipping,change_shipping_address,Pro,email,-7.5,31.5,0,0,0,0.0,Frustrated,Moderate,High
have problems with creating my standard account,Account & Authentication,create_account,Free,freshdesk,-0.6,72.6,0,0,0,0.0,Frustrated,Moderate,Medium
"I have got to earn a product, I need help",Orders & Shipping,place_order,Free,email,29.1,42.9,0,0,0,0.0,Frustrated,Minor,Medium
I have got to see what hours I can call customer service,General Inquiries,contact_customer_service,Basic,freshdesk,-32.5,80.5,0,0,0,0.0,Neutral,Minor,Low
where to report issues with a sign-up?,Account & Authentication,registration_problems,Pro,zendesk,15.2,8.8,2,0,0,0.0,Frustrated,Moderate,High
I want to know more about the subscription to the newsletter,Subscription & Account Management,newsletter_subscription,Free,salesforce,0.3,71.7,1,0,0,0.0,Neutral,Minor,Low
wanna check ur payment methods,Billing & Payments,check_payment_methods,Basic,zendesk,-0.4,48.4,0,0,0,0.0,Neutral,Minor,Low
i dont know what to do to remove the account,Account & Authentication,delete_account,Basic,freshdesk,11.4,36.6,0,0,0,0.0,Frustrated,Moderate,High
I don't know what to do to remove the standard account,Account & Authentication,delete_account,Free,salesforce,-21.4,93.4,0,0,0,0.0,Frustrated,Moderate,High
I want help to check your accepted payment options,Billing & Payments,check_payment_methods,Free,email,72.0,0.0,0,0,0,0.0,Neutral,Minor,Low
I missed some products in order,Orders & Shipping,change_order,Pro,website,-10.6,34.6,0,0,0,0.0,Frustrated,Severe,High
how can I swap a product of order ?,Orders & Shipping,change_order,Basic,email,19.5,28.5,0,0,0,0.0,Neutral,Minor,Medium
I want to know if there are any news on my refund,Returns & Refunds,track_refund,Basic,website,-0.2,48.2,0,0,0,0.0,Frustrated,Moderate,High
I want help unsubscribing to your company newsletter,Subscription & Account Management,newsletter_subscription,Enterprise,email,-0.7,8.7,3,0,0,0.0,Frustrated,Moderate,High
"I want to sign up to your corporate newsletter, help me",Subscription & Account Management,newsletter_subscription,Basic,freshdesk,21.2,26.8,0,0,0,0.0,Neutral,Minor,Low
"I need to shop several of ypur article, can I get some help?",Orders & Shipping,place_order,Pro,website,24.0,0.0,1,0,0,0.0,Neutral,Minor,Medium
help me to make a consumer complaint against your business,Complaints & Escalations,complaint,Enterprise,email,3.1,4.9,0,0,0,0.0,Angry,Severe,High
can uhelp me unsubscribing from the company newsletter,Subscription & Account Management,newsletter_subscription,Free,freshdesk,29.9,42.1,1,0,0,0.0,Neutral,Minor,Low
i need assistance to check the status of purchase,Orders & Shipping,track_order,Pro,website,7.6,16.4,0,0,0,0.0,Neutral,Moderate,Medium
want assistance to report problems with online payment,Billing & Payments,payment_issue,Pro,zendesk,24.0,0.0,0,0,0,0.0,Frustrated,Moderate,High
I have to reporta trouble with payment,Billing & Payments,payment_issue,Pro,freshdesk,23.6,0.4,0,0,0,0.0,Frustrated,Moderate,High
"my shipping address changed, can you update it?",Orders & Shipping,change_shipping_address,Free,email,-20.4,92.4,0,0,0,0.0,Neutral,Minor,Medium
can i take a quick look at my invoicr #00108,Billing & Payments,check_invoice,Free,website,72.0,0.0,0,0,0,0.0,Neutral,Minor,Low
is it possible to shop an item,Orders & Shipping,place_order,Free,email,-29.2,101.2,1,0,0,0.0,Frustrated,Moderate,High
i try to demand a restitution of my money,Returns & Refunds,get_refund,Basic,freshdesk,-5.4,53.4,0,0,0,0.0,Frustrated,Moderate,High
assistance lodging a customer reclamation against ur copany,Complaints & Escalations,complaint,Pro,zendesk,10.9,13.1,1,0,0,0.0,Frustrated,Moderate,High
